IID	pwm	Domain_EnsPID	Interaction_EnsPID	Start	End	Score	Type
56953	CHEK2	ENSP00000404400	ENSP00000387040	3860	3874	0.63	MT
56954	CHEK2	ENSP00000404400	ENSP00000369894	163	177	0.61	MT
56955	CHEK2	ENSP00000404400	ENSP00000410669	893	907	0.78	MT
56957	CHEK2	ENSP00000404400	ENSP00000472104	306	320	0.63	MT
56959	CHEK2	ENSP00000404400	ENSP00000351636	294	308	0.65	MT
56960	CHEK2	ENSP00000404400	ENSP00000221455	298	312	0.65	MT
56962	CHEK2	ENSP00000404400	ENSP00000432378	611	625	0.69	MT
56963	CHEK2	ENSP00000404400	ENSP00000409615	901	915	0.66	MT
56964	CHEK2	ENSP00000404400	ENSP00000260188	1046	1060	0.69	MT
56965	CHEK2	ENSP00000404400	ENSP00000333537	389	403	0.62	MT
56966	CHEK2	ENSP00000404400	ENSP00000470652	356	370	0.69	MT
56967	CHEK2	ENSP00000404400	ENSP00000383101	59	73	0.06	MT
56969	CHEK2	ENSP00000404400	ENSP00000354468	172	186	0.61	MT
56970	CHEK2	ENSP00000404400	ENSP00000350990	1538	1552	0.71	MT
56971	CHEK2	ENSP00000404400	ENSP00000362512	782	796	0.62	MT
56972	CHEK2	ENSP00000404400	ENSP00000321729	136	150	0.6	MT
56973	CHEK2	ENSP00000404400	ENSP00000415211	1460	1474	0.68	MT
56974	CHEK2	ENSP00000404400	ENSP00000282561	358	372	0.6	MT
56975	CHEK2	ENSP00000404400	ENSP00000365175	1076	1090	0.71	MT
56976	CHEK2	ENSP00000404400	ENSP00000377334	152	166	0.65	MT
56977	CHEK2	ENSP00000404400	ENSP00000302805	195	209	0.59	MT
56978	CHEK2	ENSP00000404400	ENSP00000359463	1146	1160	0.75	MT
56979	CHEK2	ENSP00000404400	ENSP00000432428	844	858	0.62	MT
56981	CHEK2	ENSP00000404400	ENSP00000395439	150	164	0.77	MT
56982	CHEK2	ENSP00000404400	ENSP00000377645	755	769	0.67	MT
56983	CHEK2	ENSP00000404400	ENSP00000383049	425	439	0.62	MT
56984	CHEK2	ENSP00000404400	ENSP00000336587	147	161	0.62	MT
56985	CHEK2	ENSP00000404400	ENSP00000395483	128	142	0.7	MT
56986	CHEK2	ENSP00000404400	ENSP00000322791	418	432	0.64	MT
56987	CHEK2	ENSP00000404400	ENSP00000412356	840	854	0.63	MT
56988	CHEK2	ENSP00000404400	ENSP00000362183	661	675	0.66	MT
56989	CHEK2	ENSP00000404400	ENSP00000357642	323	337	0.12	MT
56990	CHEK2	ENSP00000404400	ENSP00000457501	424	438	0.14	MT
56992	CHEK2	ENSP00000404400	ENSP00000444600	225	239	0.68	MT
56993	CHEK2	ENSP00000404400	ENSP00000458230	1835	1849	0.65	MT
56995	CHEK2	ENSP00000404400	ENSP00000397660	258	272	0.66	MT
56996	CHEK2	ENSP00000404400	ENSP00000355910	1942	1956	0.68	MT
56997	CHEK2	ENSP00000404400	ENSP00000275815	912	926	0.64	MT
56998	CHEK2	ENSP00000404400	ENSP00000472126	2589	2603	0.65	MT
56999	CHEK2	ENSP00000404400	ENSP00000274710	728	742	0.65	MT
57000	CHEK2	ENSP00000404400	ENSP00000465355	317	331	0.69	MT
57001	CHEK2	ENSP00000404400	ENSP00000311670	973	987	0.77	MT
57002	CHEK2	ENSP00000404400	ENSP00000443663	982	996	0.68	MT
57003	CHEK2	ENSP00000404400	ENSP00000334319	1525	1539	0.71	MT
57004	CHEK2	ENSP00000404400	ENSP00000407621	36	50	0.72	MT
57005	CHEK2	ENSP00000404400	ENSP00000247883	75	89	0.63	MT
57006	CHEK2	ENSP00000404400	ENSP00000392709	511	525	0.63	MT
57007	CHEK2	ENSP00000404400	ENSP00000452410	20	34	0.59	MT
57008	CHEK2	ENSP00000404400	ENSP00000404719	144	158	0.63	MT
57010	CHEK2	ENSP00000404400	ENSP00000353269	457	471	0.65	MT
57011	CHEK2	ENSP00000404400	ENSP00000356075	344	358	0.65	MT
57012	CHEK2	ENSP00000404400	ENSP00000285670	95	109	0.65	MT
57013	CHEK2	ENSP00000404400	ENSP00000332444	313	327	0.18	MT
57014	CHEK2	ENSP00000404400	ENSP00000377500	973	987	0.62	MT
57015	CHEK2	ENSP00000404400	ENSP00000407914	465	479	0.63	MT
57016	CHEK2	ENSP00000404400	ENSP00000369317	12	26	0.67	MT
57017	CHEK2	ENSP00000404400	ENSP00000462718	963	977	0.64	MT
57018	CHEK2	ENSP00000404400	ENSP00000458230	1928	1942	0.71	MT
57019	CHEK2	ENSP00000404400	ENSP00000218056	106	120	0.62	MT
57021	CHEK2	ENSP00000404400	ENSP00000466374	78	92	0.63	MT
57022	CHEK2	ENSP00000404400	ENSP00000375646	94	108	0.66	MT
57023	CHEK2	ENSP00000404400	ENSP00000230122	422	436	0.64	MT
57024	CHEK2	ENSP00000404400	ENSP00000421853	70	84	0.62	MT
57025	CHEK2	ENSP00000404400	ENSP00000458230	1574	1588	0.68	MT
57026	CHEK2	ENSP00000404400	ENSP00000385571	112	126	0.76	MT
57027	CHEK2	ENSP00000404400	ENSP00000357517	102	116	0.62	MT
57028	CHEK2	ENSP00000404400	ENSP00000356439	916	930	0.63	MT
57029	CHEK2	ENSP00000404400	ENSP00000440343	256	270	0.68	MT
57030	CHEK2	ENSP00000404400	ENSP00000433613	101	115	0.59	MT
57031	CHEK2	ENSP00000404400	ENSP00000310453	287	301	0.6	MT
57033	CHEK2	ENSP00000404400	ENSP00000365592	976	990	0.13	MT
57034	CHEK2	ENSP00000404400	ENSP00000420215	608	622	0.67	MT
57035	CHEK2	ENSP00000404400	ENSP00000368201	838	852	0.64	MT
57036	CHEK2	ENSP00000404400	ENSP00000447192	223	237	0.58	MT
57038	CHEK2	ENSP00000404400	ENSP00000429361	404	418	0.76	MT
57039	CHEK2	ENSP00000404400	ENSP00000472863	618	632	0.64	MT
57040	CHEK2	ENSP00000404400	ENSP00000431734	NA	NA	0.67	MT
57041	CHEK2	ENSP00000404400	ENSP00000320324	602	616	0.68	MT
57042	CHEK2	ENSP00000404400	ENSP00000423510	243	257	0.69	MT
57043	CHEK2	ENSP00000404400	ENSP00000471803	186	200	0.11	MT
57044	CHEK2	ENSP00000404400	ENSP00000226209	1472	1486	0.7	MT
57046	CHEK2	ENSP00000404400	ENSP00000419330	918	932	0.09	MT
57047	CHEK2	ENSP00000404400	ENSP00000470700	118	132	0.81	MT
57048	CHEK2	ENSP00000404400	ENSP00000234739	707	721	0.12	MT
57049	CHEK2	ENSP00000404400	ENSP00000447615	328	342	0.66	MT
57050	CHEK2	ENSP00000404400	ENSP00000391405	322	336	0.66	MT
57051	CHEK2	ENSP00000404400	ENSP00000413376	211	225	0.58	MT
57054	CHEK2	ENSP00000404400	ENSP00000439601	587	601	0.62	MT
57055	CHEK2	ENSP00000404400	ENSP00000342851	273	287	0.59	MT
57056	CHEK2	ENSP00000404400	ENSP00000326261	747	761	0.66	MT
57057	CHEK2	ENSP00000404400	ENSP00000363553	237	251	0.63	MT
57058	CHEK2	ENSP00000404400	ENSP00000353174	2024	2038	0.64	MT
57059	CHEK2	ENSP00000404400	ENSP00000451818	11	25	0.63	MT
57060	CHEK2	ENSP00000404400	ENSP00000430383	898	912	0.63	MT
57061	CHEK2	ENSP00000404400	ENSP00000381027	933	947	0.77	MT
57062	CHEK2	ENSP00000404400	ENSP00000295269	627	641	0.64	MT
57063	CHEK2	ENSP00000404400	ENSP00000466168	424	438	0.8	MT
57064	CHEK2	ENSP00000404400	ENSP00000430644	818	832	0.11	MT
57065	CHEK2	ENSP00000404400	ENSP00000287761	526	540	0.7	MT
57066	CHEK2	ENSP00000404400	ENSP00000443611	312	326	0.61	MT
57068	CHEK2	ENSP00000404400	ENSP00000377500	377	391	0.61	MT
57070	CHEK2	ENSP00000404400	ENSP00000469660	305	319	0.64	MT
57071	CHEK2	ENSP00000404400	ENSP00000457157	90	104	0.73	MT
57072	CHEK2	ENSP00000404400	ENSP00000362466	89	103	0.65	MT
57073	CHEK2	ENSP00000404400	ENSP00000322545	271	285	0.63	MT
57074	CHEK2	ENSP00000404400	ENSP00000261867	5	19	0.67	MT
57075	CHEK2	ENSP00000404400	ENSP00000467418	90	104	0.62	MT
57076	CHEK2	ENSP00000404400	ENSP00000302166	NA	NA	0.68	MT
57077	CHEK2	ENSP00000404400	ENSP00000406525	563	577	0.63	MT
57078	CHEK2	ENSP00000404400	ENSP00000445608	3	17	0.18	MT
57079	CHEK2	ENSP00000404400	ENSP00000308534	199	213	0.59	MT
57080	CHEK2	ENSP00000404400	ENSP00000443392	473	487	0.09	MT
57081	CHEK2	ENSP00000404400	ENSP00000467124	2	16	0.64	MT
57082	CHEK2	ENSP00000404400	ENSP00000242057	348	362	0.62	MT
57083	CHEK2	ENSP00000404400	ENSP00000220676	21	35	0.64	MT
57084	CHEK2	ENSP00000404400	ENSP00000396857	425	439	0.64	MT
57085	CHEK2	ENSP00000404400	ENSP00000268919	106	120	0.6	MT
57086	CHEK2	ENSP00000404400	ENSP00000373565	907	921	0.67	MT
57087	CHEK2	ENSP00000404400	ENSP00000369325	674	688	0.64	MT
57088	CHEK2	ENSP00000404400	ENSP00000411902	435	449	0.79	MT
57089	CHEK2	ENSP00000404400	ENSP00000361365	260	274	0.62	MT
57090	CHEK2	ENSP00000404400	ENSP00000370338	10787	10801	0.74	MT
57091	CHEK2	ENSP00000404400	ENSP00000410020	180	194	0.6	MT
57092	CHEK2	ENSP00000404400	ENSP00000379820	1284	1298	0.69	MT
57093	CHEK2	ENSP00000404400	ENSP00000330322	8	22	0.62	MT
57094	CHEK2	ENSP00000404400	ENSP00000459829	279	293	0.65	MT
57095	CHEK2	ENSP00000404400	ENSP00000377807	56	70	0.66	MT
57096	CHEK2	ENSP00000404400	ENSP00000395525	479	493	0.73	MT
57097	CHEK2	ENSP00000404400	ENSP00000344401	47	61	0.64	MT
57098	CHEK2	ENSP00000404400	ENSP00000275248	2017	2031	0.65	MT
57099	CHEK2	ENSP00000404400	ENSP00000448404	137	151	0.63	MT
57100	CHEK2	ENSP00000404400	ENSP00000396236	40	54	0.15	MT
57101	CHEK2	ENSP00000404400	ENSP00000340557	430	444	0.64	MT
57102	CHEK2	ENSP00000404400	ENSP00000431870	1087	1101	0.69	MT
57103	CHEK2	ENSP00000404400	ENSP00000384764	164	178	0.77	MT
57104	CHEK2	ENSP00000404400	ENSP00000387791	109	123	0.67	MT
57105	CHEK2	ENSP00000404400	ENSP00000357816	961	975	0.11	MT
57106	CHEK2	ENSP00000404400	ENSP00000398970	1502	1516	0.64	MT
57107	CHEK2	ENSP00000404400	ENSP00000376339	194	208	0.13	MT
57108	CHEK2	ENSP00000404400	ENSP00000358635	573	587	0.66	MT
57109	CHEK2	ENSP00000404400	ENSP00000315654	406	420	0.66	MT
57110	CHEK2	ENSP00000404400	ENSP00000258111	NA	NA	0.71	MT
57111	CHEK2	ENSP00000404400	ENSP00000443543	NA	NA	0.62	MT
57112	CHEK2	ENSP00000404400	ENSP00000356179	752	766	0.68	MT
57113	CHEK2	ENSP00000404400	ENSP00000467989	158	172	0.77	MT
57114	CHEK2	ENSP00000404400	ENSP00000420097	776	790	0.65	MT
57115	CHEK2	ENSP00000404400	ENSP00000380177	46	60	0.12	MT
57116	CHEK2	ENSP00000404400	ENSP00000471185	NA	NA	0.2	MT
57117	CHEK2	ENSP00000404400	ENSP00000380231	480	494	0.65	MT
57118	CHEK2	ENSP00000404400	ENSP00000385059	896	910	0.25	MT
57119	CHEK2	ENSP00000404400	ENSP00000355502	384	398	0.64	MT
57120	CHEK2	ENSP00000404400	ENSP00000466976	42	56	0.65	MT
57121	CHEK2	ENSP00000404400	ENSP00000470849	1246	1260	0.78	MT
57122	CHEK2	ENSP00000404400	ENSP00000375777	331	345	0.61	MT
57123	CHEK2	ENSP00000404400	ENSP00000424574	1095	1109	0.62	MT
57124	CHEK2	ENSP00000404400	ENSP00000438900	413	427	0.62	MT
57125	CHEK2	ENSP00000404400	ENSP00000445348	NA	NA	0.68	MT
57126	CHEK2	ENSP00000404400	ENSP00000259395	276	290	0.62	MT
57128	CHEK2	ENSP00000404400	ENSP00000385552	985	999	0.6	MT
57129	CHEK2	ENSP00000404400	ENSP00000403831	51	65	0.6	MT
57130	CHEK2	ENSP00000404400	ENSP00000370412	1131	1145	0.6	MT
57131	CHEK2	ENSP00000404400	ENSP00000317106	7	21	0.69	MT
57132	CHEK2	ENSP00000404400	ENSP00000346464	161	175	0.74	MT
57133	CHEK2	ENSP00000404400	ENSP00000430987	199	213	0.65	MT
57134	CHEK2	ENSP00000404400	ENSP00000362746	312	326	0.13	MT
57136	CHEK2	ENSP00000404400	ENSP00000470115	43	57	0.67	MT
57137	CHEK2	ENSP00000404400	ENSP00000440682	1120	1134	0.76	MT
57138	CHEK2	ENSP00000404400	ENSP00000408588	140	154	0.65	MT
57139	CHEK2	ENSP00000404400	ENSP00000377682	56	70	0.65	MT
57141	CHEK2	ENSP00000404400	ENSP00000352657	538	552	0.65	MT
57142	CHEK2	ENSP00000404400	ENSP00000429176	15	29	0.65	MT
57143	CHEK2	ENSP00000404400	ENSP00000408660	340	354	0.2	MT
57144	CHEK2	ENSP00000404400	ENSP00000355475	2079	2093	0.6	MT
57145	CHEK2	ENSP00000404400	ENSP00000366927	4	18	0.62	MT
57146	CHEK2	ENSP00000404400	ENSP00000373165	NA	NA	0.63	MT
57147	CHEK2	ENSP00000404400	ENSP00000305988	301	315	0.66	MT
57148	CHEK2	ENSP00000404400	ENSP00000314348	86	100	0.6	MT
57149	CHEK2	ENSP00000404400	ENSP00000239906	183	197	0.62	MT
57151	CHEK2	ENSP00000404400	ENSP00000339933	285	299	0.64	MT
57152	CHEK2	ENSP00000404400	ENSP00000406561	273	287	0.65	MT
57153	CHEK2	ENSP00000404400	ENSP00000420723	45	59	0.22	MT
57154	CHEK2	ENSP00000404400	ENSP00000458230	447	461	0.68	MT
57155	CHEK2	ENSP00000404400	ENSP00000360293	252	266	0.65	MT
57156	CHEK2	ENSP00000404400	ENSP00000451249	861	875	0.68	MT
57157	CHEK2	ENSP00000404400	ENSP00000403441	585	599	0.64	MT
57158	CHEK2	ENSP00000404400	ENSP00000469115	986	1000	0.62	MT
57159	CHEK2	ENSP00000404400	ENSP00000385277	612	626	0.76	MT
57160	CHEK2	ENSP00000404400	ENSP00000353234	120	134	0.59	MT
57162	CHEK2	ENSP00000404400	ENSP00000295101	394	408	0.12	MT
57163	CHEK2	ENSP00000404400	ENSP00000264773	555	569	0.68	MT
57164	CHEK2	ENSP00000404400	ENSP00000355612	431	445	0.63	MT
57165	CHEK2	ENSP00000404400	ENSP00000259608	66	80	0.64	MT
57166	CHEK2	ENSP00000404400	ENSP00000261560	305	319	0.65	MT
57167	CHEK2	ENSP00000404400	ENSP00000417992	935	949	0.23	MT
57168	CHEK2	ENSP00000404400	ENSP00000464742	315	329	0.77	MT
57169	CHEK2	ENSP00000404400	ENSP00000333192	368	382	0.62	MT
57170	CHEK2	ENSP00000404400	ENSP00000244711	NA	NA	0.63	MT
57171	CHEK2	ENSP00000404400	ENSP00000448349	273	287	0.26	MT
57172	CHEK2	ENSP00000404400	ENSP00000427194	1611	1625	0.62	MT
57173	CHEK2	ENSP00000404400	ENSP00000356576	1436	1450	0.64	MT
57174	CHEK2	ENSP00000404400	ENSP00000262577	446	460	0.7	MT
57175	CHEK2	ENSP00000404400	ENSP00000445904	493	507	0.25	MT
57176	CHEK2	ENSP00000404400	ENSP00000369500	241	255	0.61	MT
57177	CHEK2	ENSP00000404400	ENSP00000403582	443	457	0.68	MT
57178	CHEK2	ENSP00000404400	ENSP00000426947	472	486	0.62	MT
57179	CHEK2	ENSP00000404400	ENSP00000297071	33	47	0.73	MT
57180	CHEK2	ENSP00000404400	ENSP00000431734	704	718	0.67	MT
57181	CHEK2	ENSP00000404400	ENSP00000299727	137	151	0.65	MT
57182	CHEK2	ENSP00000404400	ENSP00000261202	1343	1357	0.67	MT
57183	CHEK2	ENSP00000404400	ENSP00000314153	624	638	0.13	MT
57184	CHEK2	ENSP00000404400	ENSP00000321813	335	349	0.15	MT
57185	CHEK2	ENSP00000404400	ENSP00000470481	612	626	0.62	MT
57186	CHEK2	ENSP00000404400	ENSP00000300101	621	635	0.63	MT
57187	CHEK2	ENSP00000404400	ENSP00000326900	1592	1606	0.65	MT
57188	CHEK2	ENSP00000404400	ENSP00000417982	309	323	0.64	MT
57189	CHEK2	ENSP00000404400	ENSP00000272907	440	454	0.64	MT
57190	CHEK2	ENSP00000404400	ENSP00000254321	409	423	0.62	MT
57191	CHEK2	ENSP00000404400	ENSP00000356319	1071	1085	0.58	MT
57192	CHEK2	ENSP00000404400	ENSP00000475539	1792	1806	0.7	MT
57193	CHEK2	ENSP00000404400	ENSP00000476222	2162	2176	0.79	MT
57195	CHEK2	ENSP00000404400	ENSP00000381026	761	775	0.14	MT
57196	CHEK2	ENSP00000404400	ENSP00000451392	1799	1813	0.8	MT
57198	CHEK2	ENSP00000404400	ENSP00000442483	59	73	0.64	MT
57199	CHEK2	ENSP00000404400	ENSP00000475324	767	781	0.6	MT
57200	CHEK2	ENSP00000404400	ENSP00000428032	1264	1278	0.22	MT
57201	CHEK2	ENSP00000404400	ENSP00000276297	347	361	0.61	MT
57202	CHEK2	ENSP00000404400	ENSP00000242323	342	356	0.63	MT
57203	CHEK2	ENSP00000404400	ENSP00000354925	575	589	0.75	MT
57204	CHEK2	ENSP00000404400	ENSP00000409647	503	517	0.61	MT
57205	CHEK2	ENSP00000404400	ENSP00000394645	1621	1635	0.59	MT
57206	CHEK2	ENSP00000404400	ENSP00000374444	2257	2271	0.64	MT
57207	CHEK2	ENSP00000404400	ENSP00000456649	941	955	0.21	MT
57208	CHEK2	ENSP00000404400	ENSP00000424702	114	128	0.13	MT
57209	CHEK2	ENSP00000404400	ENSP00000297071	265	279	0.64	MT
57210	CHEK2	ENSP00000404400	ENSP00000375613	312	326	0.79	MT
57211	CHEK2	ENSP00000404400	ENSP00000427083	8426	8440	0.65	MT
57212	CHEK2	ENSP00000404400	ENSP00000422878	430	444	0.11	MT
57213	CHEK2	ENSP00000404400	ENSP00000396699	325	339	0.67	MT
57214	CHEK2	ENSP00000404400	ENSP00000378659	120	134	0.8	MT
57216	CHEK2	ENSP00000404400	ENSP00000295133	16	30	0.63	MT
57217	CHEK2	ENSP00000404400	ENSP00000438566	288	302	0.73	MT
57218	CHEK2	ENSP00000404400	ENSP00000384600	78	92	0.21	MT
57219	CHEK2	ENSP00000404400	ENSP00000393397	248	262	0.64	MT
57220	CHEK2	ENSP00000404400	ENSP00000356378	3179	3193	0.63	MT
57221	CHEK2	ENSP00000404400	ENSP00000416970	2	16	0.11	MT
57222	CHEK2	ENSP00000404400	ENSP00000467424	126	140	0.7	MT
57223	CHEK2	ENSP00000404400	ENSP00000364520	663	677	0.65	MT
57224	CHEK2	ENSP00000404400	ENSP00000380630	1635	1649	0.63	MT
57226	CHEK2	ENSP00000404400	ENSP00000431564	184	198	0.63	MT
57227	CHEK2	ENSP00000404400	ENSP00000458925	10	24	0.63	MT
57228	CHEK2	ENSP00000404400	ENSP00000417296	53	67	0.13	MT
57229	CHEK2	ENSP00000404400	ENSP00000361841	665	679	0.65	MT
57230	CHEK2	ENSP00000404400	ENSP00000308772	191	205	0.23	MT
57231	CHEK2	ENSP00000404400	ENSP00000344162	296	310	0.63	MT
57232	CHEK2	ENSP00000404400	ENSP00000382691	341	355	0.65	MT
57233	CHEK2	ENSP00000404400	ENSP00000413752	458	472	0.63	MT
57234	CHEK2	ENSP00000404400	ENSP00000280701	64	78	0.21	MT
57235	CHEK2	ENSP00000404400	ENSP00000364582	283	297	0.1	MT
57236	CHEK2	ENSP00000404400	ENSP00000390782	75	89	0.59	MT
57237	CHEK2	ENSP00000404400	ENSP00000229771	415	429	0.66	MT
57238	CHEK2	ENSP00000404400	ENSP00000429990	254	268	0.63	MT
57239	CHEK2	ENSP00000404400	ENSP00000393020	73	87	0.62	MT
57240	CHEK2	ENSP00000404400	ENSP00000252245	27	41	0.66	MT
57241	CHEK2	ENSP00000404400	ENSP00000450945	555	569	0.73	MT
57242	CHEK2	ENSP00000404400	ENSP00000304895	1136	1150	0.66	MT
57243	CHEK2	ENSP00000404400	ENSP00000449067	104	118	0.63	MT
57244	CHEK2	ENSP00000404400	ENSP00000368880	322	336	0.17	MT
57245	CHEK2	ENSP00000404400	ENSP00000357547	1066	1080	0.6	MT
57246	CHEK2	ENSP00000404400	ENSP00000253363	77	91	0.63	MT
57247	CHEK2	ENSP00000404400	ENSP00000360582	626	640	0.6	MT
57248	CHEK2	ENSP00000404400	ENSP00000432974	78	92	0.12	MT
57249	CHEK2	ENSP00000404400	ENSP00000456379	262	276	0.65	MT
57250	CHEK2	ENSP00000404400	ENSP00000431734	114	128	0.71	MT
57251	CHEK2	ENSP00000404400	ENSP00000472406	513	527	0.63	MT
57252	CHEK2	ENSP00000404400	ENSP00000327763	261	275	0.67	MT
57253	CHEK2	ENSP00000404400	ENSP00000340510	1635	1649	0.65	MT
57254	CHEK2	ENSP00000404400	ENSP00000392176	343	357	0.63	MT
57255	CHEK2	ENSP00000404400	ENSP00000040738	628	642	0.68	MT
57256	CHEK2	ENSP00000404400	ENSP00000469906	445	459	0.66	MT
57258	CHEK2	ENSP00000404400	ENSP00000468048	365	379	0.64	MT
57259	CHEK2	ENSP00000404400	ENSP00000465065	380	394	0.63	MT
57260	CHEK2	ENSP00000404400	ENSP00000462718	539	553	0.73	MT
57262	CHEK2	ENSP00000404400	ENSP00000435342	904	918	0.61	MT
57263	CHEK2	ENSP00000404400	ENSP00000336587	381	395	0.11	MT
57264	CHEK2	ENSP00000404400	ENSP00000354649	178	192	0.66	MT
57265	CHEK2	ENSP00000404400	ENSP00000334418	254	268	0.59	MT
57266	CHEK2	ENSP00000404400	ENSP00000329632	254	268	0.76	MT
57267	CHEK2	ENSP00000404400	ENSP00000358437	217	231	0.64	MT
57268	CHEK2	ENSP00000404400	ENSP00000269576	291	305	0.6	MT
57269	CHEK2	ENSP00000404400	ENSP00000392192	847	861	0.64	MT
57270	CHEK2	ENSP00000404400	ENSP00000438928	398	412	0.77	MT
57271	CHEK2	ENSP00000404400	ENSP00000418188	301	315	0.24	MT
57272	CHEK2	ENSP00000404400	ENSP00000469874	52	66	0.62	MT
57273	CHEK2	ENSP00000404400	ENSP00000388731	895	909	0.64	MT
57274	CHEK2	ENSP00000404400	ENSP00000407774	930	944	0.8	MT
57275	CHEK2	ENSP00000404400	ENSP00000251038	320	334	0.69	MT
57276	CHEK2	ENSP00000404400	ENSP00000308944	628	642	0.79	MT
57277	CHEK2	ENSP00000404400	ENSP00000345029	341	355	0.68	MT
57278	CHEK2	ENSP00000404400	ENSP00000217456	130	144	0.64	MT
57279	CHEK2	ENSP00000404400	ENSP00000460245	3262	3276	0.62	MT
57280	CHEK2	ENSP00000404400	ENSP00000402136	20	34	0.63	MT
57281	CHEK2	ENSP00000404400	ENSP00000341243	218	232	0.62	MT
57283	CHEK2	ENSP00000404400	ENSP00000430262	452	466	0.8	MT
57284	CHEK2	ENSP00000404400	ENSP00000447192	124	138	0.76	MT
57285	CHEK2	ENSP00000404400	ENSP00000186436	1864	1878	0.7	MT
57286	CHEK2	ENSP00000404400	ENSP00000422197	107	121	0.62	MT
57287	CHEK2	ENSP00000404400	ENSP00000314103	466	480	0.76	MT
57289	CHEK2	ENSP00000404400	ENSP00000333568	242	256	0.68	MT
57291	CHEK2	ENSP00000404400	ENSP00000299563	361	375	0.66	MT
57292	CHEK2	ENSP00000404400	ENSP00000428478	983	997	0.67	MT
57293	CHEK2	ENSP00000404400	ENSP00000369695	295	309	0.15	MT
57295	CHEK2	ENSP00000404400	ENSP00000443495	588	602	0.63	MT
57296	CHEK2	ENSP00000404400	ENSP00000446644	632	646	0.67	MT
57297	CHEK2	ENSP00000404400	ENSP00000430921	260	274	0.63	MT
57298	CHEK2	ENSP00000404400	ENSP00000378783	578	592	0.65	MT
57299	CHEK2	ENSP00000404400	ENSP00000292069	1	15	0.63	MT
57300	CHEK2	ENSP00000404400	ENSP00000274068	106	120	0.08	MT
57301	CHEK2	ENSP00000404400	ENSP00000359203	720	734	0.67	MT
57302	CHEK2	ENSP00000404400	ENSP00000395143	1084	1098	0.65	MT
57303	CHEK2	ENSP00000404400	ENSP00000422152	407	421	0.24	MT
57304	CHEK2	ENSP00000404400	ENSP00000433663	349	363	0.6	MT
57306	CHEK2	ENSP00000404400	ENSP00000442120	58	72	0.7	MT
57309	CHEK2	ENSP00000404400	ENSP00000417992	314	328	0.68	MT
57310	CHEK2	ENSP00000404400	ENSP00000400637	80	94	0.6	MT
57311	CHEK2	ENSP00000404400	ENSP00000225371	59	73	0.63	MT
57312	CHEK2	ENSP00000404400	ENSP00000329825	619	633	0.61	MT
57313	CHEK2	ENSP00000404400	ENSP00000350073	1171	1185	0.66	MT
57314	CHEK2	ENSP00000404400	ENSP00000365427	1795	1809	0.63	MT
57315	CHEK2	ENSP00000404400	ENSP00000431911	337	351	0.64	MT
57316	CHEK2	ENSP00000404400	ENSP00000378967	77	91	0.67	MT
57317	CHEK2	ENSP00000404400	ENSP00000389126	224	238	0.12	MT
57318	CHEK2	ENSP00000404400	ENSP00000388731	1033	1047	0.61	MT
57319	CHEK2	ENSP00000404400	ENSP00000377569	81	95	0.58	MT
57320	CHEK2	ENSP00000404400	ENSP00000477415	81	95	0.58	MT
57321	CHEK2	ENSP00000404400	ENSP00000322599	139	153	0.63	MT
57322	CHEK2	ENSP00000404400	ENSP00000410036	272	286	0.64	MT
57323	CHEK2	ENSP00000404400	ENSP00000430246	477	491	0.59	MT
57324	CHEK2	ENSP00000404400	ENSP00000387657	888	902	0.63	MT
57325	CHEK2	ENSP00000404400	ENSP00000381027	781	795	0.11	MT
57326	CHEK2	ENSP00000404400	ENSP00000288309	71	85	0.6	MT
57327	CHEK2	ENSP00000404400	ENSP00000414354	377	391	0.64	MT
57328	CHEK2	ENSP00000404400	ENSP00000340591	1254	1268	0.61	MT
57329	CHEK2	ENSP00000404400	ENSP00000377334	152	166	0.65	MT
57331	CHEK2	ENSP00000404400	ENSP00000467124	2	16	0.64	MT
57332	CHEK2	ENSP00000404400	ENSP00000421628	401	415	0.65	MT
57333	CHEK2	ENSP00000404400	ENSP00000422098	953	967	0.63	MT
57334	CHEK2	ENSP00000404400	ENSP00000445620	148	162	0.09	MT
57335	CHEK2	ENSP00000404400	ENSP00000436443	194	208	0.65	MT
57336	CHEK2	ENSP00000404400	ENSP00000319087	333	347	0.64	MT
57337	CHEK2	ENSP00000404400	ENSP00000468679	411	425	0.63	MT
57338	CHEK2	ENSP00000404400	ENSP00000453861	673	687	0.62	MT
57339	CHEK2	ENSP00000404400	ENSP00000262507	171	185	0.13	MT
57340	CHEK2	ENSP00000404400	ENSP00000438926	1920	1934	0.13	MT
57341	CHEK2	ENSP00000404400	ENSP00000449355	30	44	0.67	MT
57342	CHEK2	ENSP00000404400	ENSP00000426459	70	84	0.12	MT
57343	CHEK2	ENSP00000404400	ENSP00000356378	2114	2128	0.59	MT
57344	CHEK2	ENSP00000404400	ENSP00000352358	695	709	0.6	MT
57345	CHEK2	ENSP00000404400	ENSP00000280435	812	826	0.65	MT
57346	CHEK2	ENSP00000404400	ENSP00000437634	517	531	0.65	MT
57348	CHEK2	ENSP00000404400	ENSP00000442938	171	185	0.81	MT
57349	CHEK2	ENSP00000404400	ENSP00000453861	76	90	0.55	MT
57350	CHEK2	ENSP00000404400	ENSP00000459231	660	674	0.78	MT
57351	CHEK2	ENSP00000404400	ENSP00000385535	366	380	0.61	MT
57352	CHEK2	ENSP00000404400	ENSP00000429787	1	15	0.17	MT
